Hermione,secretly brews,Polyjuice Potion allowing
Draco,have,lackeys
Hermione,brews,Polyjuice Potion
Harry Ron,impersonate,Draco 's lackeys
Draco,have,lackeys
Draco,knows,nothing heir
Draco 's lackeys,learn,Draco
trio diary,left,stall
trio diary,left,stall
stall,belong,Tom Riddle
death Chamber,have,previous opening
student,have,death Chamber
Riddle 's consciousness,be,responsible
Riddle,have,consciousness within diary claims
Hermione,be,petrified
school,be put,lockdown
school,be,put
Hagrid,be,sent
Headmaster Albus Dumbledore,be force,Hagrid
Headmaster Albus Dumbledore,be,forced
Hagrid,be send,Azkaban prison
Harry Ron,follow,spiders Forest
instructions,left,Hagrid
Harry Ron,follow,spiders Forbidden Forest
Acromantula Aragog,denies,Acromantula involvement
Harry Ron,encounter,gigantic Acromantula named Aragog
Harry Ron,encounter,Acromantula Aragog
gigantic Acromantula named Aragog,denies,Acromantula involvement
Harry Ron,encounter,gigantic Acromantula Aragog
Acromantula named Aragog,denies,Acromantula involvement
spiders,claims fear,real monster
spiders,claims fear,monster
Harry Ron,encounter,Acromantula named Aragog
gigantic Acromantula Aragog,denies,Acromantula involvement
Mr Weasley 's car,rescues,Harry Ron
Mr Weasley,have,car
Aragog,attempts,feed Harry Ron Aragog progeny
whose direct gaze,kills,petrifies victims seen reflection
whose gaze,kills,petrifies victims reflection
monster,be,basilisk
Harry Ron,discover,Hermione
had deduced monster,be,basilisk
whose direct gaze,kills,petrifies victims reflection
whose gaze,kills,petrifies victims seen reflection
Harry,concludes,basilisk
Harry concludes,be,voice walls basilisk travels plumbing
Harry concludes,be,voice walls travels plumbing
student,be,killed
twelve year old Harry,realises,Moaning Myrtle
year old Harry,also realises,Moaning Myrtle
year old Harry,realises,Moaning Myrtle
twelve year old Harry,also realises,Moaning Myrtle
Ron 's sister,be abduct,Chamber
Ron 's sister,be,abducted
Ron 's sister,be abduct,taken Chamber
Ron,have,sister
Ron,'s sister be,Ginny
force Lockhart,enter,entrance Myrtle 's bathroom
entrance Myrtle,have,bathroom
entrance Myrtle,have,bathroom
Harry Ron,discover,entrance Myrtle 's bathroom
Lockhart confesses,be,fraud attempts
incompetent fraud attempts,erase,boys ' memories
Lockhart confesses,be,magically incompetent fraud attempts erase
incompetent fraud attempts,erase,boys ' memories using
Lockhart confesses,be,magically incompetent fraud attempts
Lockhart confesses,be,incompetent fraud attempts erase
fraud attempts,erase,boys ' memories using
fraud attempts,erase,boys ' memories using
fraud attempts,erase,boys ' memories
Lockhart confesses,be,fraud attempts erase
incompetent fraud attempts,erase,boys ' memories
fraud attempts,erase,boys ' memories
incompetent fraud attempts,erase,boys ' memories using
Ron,have,damaged wand
Lockhart,confesses,Lockhart
Lockhart confesses,be,incompetent fraud attempts
obliterating memory,causes,rockfall
memory,causes,rockfall
Harry,proceeds,Chamber
Chamber,finds,unconscious Ginny
Chamber,finds,Ginny
manifestation Tom Riddle,be,Lord Voldemort Heir Slytherin
Lord Voldemort Heir Slytherin,be open,Chamber framed Hagrid
Lord Voldemort Heir Slytherin,be open,Chamber Hagrid
Lord Voldemort Heir Slytherin,be previously open,Chamber Hagrid
Lord Voldemort Heir Slytherin,be previously open,Chamber framed Hagrid
Lord Voldemort Heir Slytherin,possess,control Ginny
diary,possess,control Ginny
Lord Voldemort Heir Slytherin,be unleashes,basilisk
Dumbledore,have,phoenix Fawkes
Harry,Sorting,Hat
Fawkes blinds,pulls,Sword Godric Gryffindor Sorting Hat
Harry,pulls,Sword Godric Gryffindor Sorting Hat
Fawkes blinds,pulls,Sword Godric Gryffindor Hat
basilisk Harry,pulls,Sword Godric Gryffindor Hat
Harry,pulls,Sword Godric Gryffindor Hat
basilisk Harry,pulls,Sword Godric Gryffindor Sorting Hat
Harry,slays,basilisk
Riddle taunts,die,Harry
Fawkes,' heals be,Harry
Harry,stabs,Riddle
Harry,stabs,Ginny
Riddle,'s fang be,reviving Ginny
Riddle,'s fang be,destroying Riddle
